state,year,cigsale,lnincome,beer,age15to24,retprice
Alabama,1970,89.80000305,,,0.17886178,39.59999847
Alabama,1971,95.40000153,,,0.17992784,42.70000076
Alabama,1972,101.0999985,9.498476,,0.1809939,42.29999924
Alabama,1973,102.9000015,9.550107,,0.18205994,42.09999847
Alabama,1974,108.1999969,9.537163,,0.183126,43.09999847
Alabama,1975,111.6999969,9.540031,,0.18419206,46.59999847
Alabama,1976,116.1999969,9.5919075,,0.18525812,50.40000153
Alabama,1977,117.0999985,9.617496,,0.18632418,50.09999847
Alabama,1978,123,9.654072,,0.18739022,55.09999847
Alabama,1979,121.4000015,9.64918,,0.18845628,56.79999924
Alabama,1980,123.1999969,9.612194,,0.18952234,60.59999847
Alabama,1981,119.5999985,9.609594,,0.18584223,68.80000305
Alabama,1982,119.0999985,9.59758,,0.18216212,73.09999847
Alabama,1983,116.3000031,9.626769,,0.17848201,84.40000153
Alabama,1984,113,9.671621,18,0.1748019,90.80000305
Alabama,1985,114.5,9.703193,18.7,0.17112179,99
Alabama,1986,116.3000031,9.74595,19.3,0.16744168,103
Alabama,1987,114,9.762092,19.4,0.16376157,110
Alabama,1988,112.0999985,9.78177,19.4,0.16008146,114.4000015
Alabama,1989,105.5999985,9.802527,19.4,0.15640135,122.3000031
Alabama,1990,108.5999985,9.81429,20.1,0.15272124,139.1000061
Alabama,1991,107.9000015,9.81926,20.1,,144.3999939
Alabama,1992,109.0999985,9.845286,20.4,,172.1999969
Alabama,1993,108.5,9.85216,20.3,,176.1999969
Alabama,1994,107.0999985,9.879334,21,,154.6000061
Alabama,1995,102.5999985,9.924404,20.6,,155.1000061
Alabama,1996,101.4000015,9.940027,21,,158.3000031
Alabama,1997,104.9000015,9.93727,20.8,,167.3999939
Alabama,1998,106.1999969,,,,180.5
Alabama,1999,100.6999969,,,,195.6000061
Alabama,2000,96.19999695,,,,270.7000122
Arkansas,1970,100.3000031,,,0.16900676,36.70000076
Arkansas,1971,104.0999985,,,0.16995385,38.79999924
Arkansas,1972,103.9000015,9.464514,,0.17090096,44.09999847
Arkansas,1973,108,9.55683,,0.17184804,45.09999847
Arkansas,1974,109.6999969,9.542286,,0.17279513,45.5
Arkansas,1975,114.8000031,9.514094,,0.17374223,48.59999847
Arkansas,1976,119.0999985,9.558153,,0.17468932,50.90000153
Arkansas,1977,122.5999985,9.590923,,0.17563641,52.59999847
Arkansas,1978,127.3000031,9.657238,,0.1765835,56.5
Arkansas,1979,126.5,9.6335335,,0.1775306,58.40000153
Arkansas,1980,131.8000031,9.573803,,0.17847769,61.5
Arkansas,1981,128.6999969,9.593041,,0.17501111,64.69999695
Arkansas,1982,127.4000015,9.5737,,0.17154454,72.09999847
Arkansas,1983,128,9.593053,,0.16807795,82
Arkansas,1984,123.0999985,9.65044,17.9,0.16461137,93.59999847
Arkansas,1985,125.8000031,9.675527,18.1,0.1611448,98.5
Arkansas,1986,126,9.705939,18.7,0.15767822,103.5999985
Arkansas,1987,122.3000031,9.705574,19,0.15421164,113
Arkansas,1988,121.5,9.721532,18.9,0.15074505,119.9000015
Arkansas,1989,118.3000031,9.7373705,19,0.14727847,127.6999969
Arkansas,1990,113.0999985,9.736311,19.9,0.1438119,141.1999969
Arkansas,1991,116.8000031,9.743068,19.9,,146.5
Arkansas,1992,126,9.788629,20,,177.3000031
